y_Медианный доход по району	Широта	Долгота	Медианная стоимость дома в районе	Средний возраст населения	Всего номеров в районе	Население района	Всего домохозяйств в районе	Всего спален в районе
2.0332	34.06	-118.30	270000	33	2437	3906	1084	1283
2.5313	34.05	-118.31	305800	35	1692	1578	406	423
2.2684	34.05	-118.30	193800	31	1744	2034	633	720
1.3867	34.05	-118.29	193800	30	1417	1615	540	589
1.5972	34.05	-118.29	168800	34	1102	1325	439	448
1.9323	34.05	-118.30	161100	36	1723	1664	501	569
2.0960	34.05	-118.30	187500	34	1453	1987	589	588
2.8233	34.06	-118.38	310000	31	4345	1987	1070	1158
2.9883	34.05	-118.37	296100	41	2369	1252	522	544
3.2380	34.05	-118.38	287500	40	2352	1133	563	598
2.2725	34.05	-118.34	140600	39	975	723	285	292
2.5320	34.04	-118.32	172700	39	2965	2638	794	812
2.2554	34.04	-118.32	165000	39	1294	1140	313	330
2.9130	34.04	-118.33	192500	31	1090	955	239	251
2.7409	34.05	-118.34	167100	41	2099	1369	465	472
2.5955	34.04	-118.34	139700	35	2345	2042	565	607
2.2254	34.04	-118.34	127100	40	2064	2140	617	662
1.7014	34.04	-118.34	123200	37	1466	1835	500	529
1.8685	34.04	-118.35	150700	36	1956	1672	546	601
2.3687	34.04	-118.35	146800	38	1626	1019	372	375
3.0694	34.03	-118.37	122200	37	1236	966	292	309
2.0538	34.04	-118.36	125800	34	3239	2331	765	806
2.4635	34.04	-118.35	169400	41	1617	1110	375	423
1.9750	34.03	-118.35	138100	35	1438	794	306	333
2.5927	34.04	-118.33	161500	33	1806	1161	393	444
1.7377	34.03	-118.33	183900	33	2314	1714	582	624
2.1046	34.03	-118.32	114000	35	3189	2221	801	935
1.9018	34.03	-118.33	137500	39	2840	1911	688	826
2.1324	34.03	-118.36	143800	36	1083	1023	295	342
1.8316	34.03	-118.36	113500	40	2323	1847	614	661
2.2368	34.03	-118.36	120000	38	1400	1139	315	376
1.6452	34.03	-118.36	125900	35	1819	1666	482	499
2.0879	34.03	-118.36	120700	38	2365	2259	607	638
3.9732	34.03	-118.37	188400	41	1425	838	296	285
1.5565	34.05	-118.28	152500	35	1627	3013	791	838
2.1696	34.04	-118.28	153400	39	1155	1857	424	433
2.0817	34.04	-118.29	132500	41	659	1224	290	291
1.8571	34.05	-118.29	143800	40	907	1426	323	349
1.2786	34.05	-118.30	121900	39	993	1765	464	506
1.9336	34.05	-118.31	190600	38	1864	1768	439	515
2.1162	34.05	-118.31	229200	35	2007	1513	554	571
2.4048	34.04	-118.31	208300	33	2691	2390	681	726
2.0658	34.04	-118.31	214600	29	2038	2070	570	578
0.8351	34.03	-118.31	150000	29	2438	2114	753	867
1.9531	34.03	-118.32	227800	31	2206	1194	435	501
1.7109	34.04	-118.30	175000	24	2092	1757	538	585
2.0060	34.04	-118.30	150000	37	1470	1579	390	399
1.7670	34.04	-118.31	170300	37	2338	2376	630	686
1.7800	34.03	-118.30	162500	41	1653	1868	393	426
2.1518	34.04	-118.30	152800	35	1090	1605	330	345
2.1542	34.04	-118.29	128100	31	700	1272	298	299
2.1471	34.04	-118.29	125000	32	432	702	186	182
1.0219	34.03	-118.29	258300	29	3544	3323	1213	1384
2.0848	34.03	-118.29	135200	38	1501	1777	441	437
0.7473	34.03	-118.29	168800	22	3313	2381	1063	1235
2.1350	34.03	-118.29	119600	27	1084	1085	279	287
2.7125	34.03	-118.30	150000	40	1695	1138	357	374
1.8564	34.03	-118.30	187500	37	2781	2586	729	766
2.1173	34.03	-118.31	156600	34	2041	1479	495	517
1.3187	34.02	-118.31	127100	23	1703	1333	361	397
2.0870	34.02	-118.29	141300	21	1641	1526	453	491
1.6310	34.02	-118.30	137500	34	3184	2474	705	772
1.5781	34.02	-118.30	119300	31	1933	1522	423	478
1.6089	34.04	-118.28	162500	19	460	890	229	241
1.2969	34.04	-118.28	160200	24	1283	1932	516	545
1.4167	34.04	-118.28	200000	25	1582	2390	719	780
2.1806	34.04	-118.28	180000	20	1193	1880	453	454
1.8539	34.03	-118.28	147500	41	1933	3121	719	791
1.7976	34.03	-118.28	164600	40	2118	2195	658	796
1.8750	34.02	-118.27	127300	39	2004	3050	621	633
0.9234	34.02	-118.27	187500	40	561	662	205	284
1.2989	34.03	-118.28	225000	25	1407	1193	472	550
1.6302	34.02	-118.25	130700	32	1375	1698	432	448
1.5652	34.02	-118.26	123100	38	980	1308	310	285
2.1310	34.02	-118.26	136500	38	1091	1786	340	349
1.8382	34.02	-118.26	126400	40	1259	1499	327	362
2.1667	34.02	-118.26	117700	37	1551	2173	474	501
1.5603	34.02	-118.26	109600	41	848	1428	313	323
2.2356	34.02	-118.26	119500	39	698	1046	228	232
1.9130	34.02	-118.25	114300	35	1368	2239	461	486
2.1957	34.02	-118.25	100800	33	1676	2564	515	525
1.2396	34.01	-118.25	90300	28	481	596	128	136
2.3304	34.02	-118.25	119900	32	1311	1792	396	410
2.1466	34.01	-118.25	100800	31	1301	1952	377	403
1.7813	34.01	-118.24	127500	30	405	376	68	86
1.2857	34.01	-118.25	99300	36	879	1034	236	262
1.4464	34.01	-118.25	110200	30	962	1280	263	291
1.4653	34.01	-118.26	118800	38	697	749	206	208
1.9074	34.01	-118.26	99600	37	2451	2824	598	668
2.3190	34.02	-118.27	97200	21	1314	1505	366	375
1.8652	34.01	-118.27	116100	35	1193	1784	341	355
1.2206	34.01	-118.27	129200	35	1672	2106	519	556
1.6221	34.00	-118.26	104200	41	1733	1776	453	492
1.7237	34.00	-118.25	105800	36	1033	1112	229	267
1.6382	34.00	-118.25	105000	36	1176	1267	292	309
1.5781	34.00	-118.25	102900	32	1218	1292	304	342
1.3030	34.00	-118.25	90400	41	1768	1721	474	475
1.4792	34.00	-118.25	95800	34	1905	2194	521	552
2.2813	34.00	-118.25	101300	29	1419	1696	317	363
1.7132	34.00	-118.24	108200	38	1715	1714	389	414
2.1793	33.99	-118.25	107900	39	1274	1362	324	319
0.8941	34.00	-118.26	91900	27	1611	1457	458	479
1.9208	34.00	-118.26	103400	37	2615	2484	630	697
1.8520	34.00	-118.27	101500	40	2099	2311	529	599
1.6901	33.99	-118.26	103500	36	2016	1807	464	505
1.9531	33.99	-118.27	100000	30	504	529	123	140
1.4886	33.99	-118.27	100000	35	932	1153	282	294
1.8086	33.99	-118.27	97100	38	1407	1783	402	447
1.1667	34.01	-118.29	143800	40	885	799	221	312
1.2446	34.02	-118.30	103800	27	2190	1768	528	626
1.1563	34.02	-118.29	118800	26	2001	2044	557	582
1.7961	34.01	-118.30	111700	35	1147	818	281	290
1.6667	34.02	-118.31	116900	41	1046	727	201	216
2.0417	34.01	-118.31	117100	39	2073	1246	547	566
1.7143	34.01	-118.28	132000	34	2305	2450	740	775
1.6036	34.01	-118.29	137500	39	751	1010	231	207
1.0539	34.01	-118.29	142500	30	1385	1730	472	518
2.1250	34.00	-118.28	118800	38	3335	3612	887	921
1.2347	34.00	-118.29	111700	41	1807	1731	471	493
1.1806	34.00	-118.30	134600	40	1131	859	230	281
0.9304	34.00	-118.33	151600	24	873	529	308	320
3.2344	33.98	-118.32	104300	40	1298	791	255	277
1.8806	33.98	-118.33	113900	28	3889	3121	1046	1199
1.6477	33.98	-118.33	108900	32	1784	1472	476	489
1.8472	33.98	-118.33	149100	38	3063	2153	721	796
1.6750	33.99	-118.34	166700	34	397	250	121	132
1.6531	33.98	-118.33	118500	30	3112	2739	841	931
4.4028	34.02	-118.37	246800	33	2263	900	382	430
4.3077	34.02	-118.38	140600	31	1893	819	426	450
2.5568	34.01	-118.34	312500	35	1359	655	341	359
1.7945	34.01	-118.34	106300	37	4291	1941	953	1102
1.6187	34.01	-118.34	266700	38	2318	1407	702	735
1.7622	34.02	-118.35	167900	34	3978	2725	1035	1073
3.2500	34.00	-118.35	301000	28	3085	1162	558	621
1.8818	33.99	-118.28	100000	35	1138	1128	311	304
1.4625	33.99	-118.28	103000	37	1971	1673	464	513
2.5547	33.99	-118.29	108900	39	979	857	236	235
1.0516	33.98	-118.29	108300	41	1582	1422	370	416
1.9564	33.98	-118.28	92200	39	1306	1332	331	345
0.9809	33.98	-118.28	121400	19	883	726	277	313
1.2230	33.98	-118.29	100000	30	1162	1207	289	318
1.6890	33.97	-118.28	102600	31	1068	1091	281	271
1.9219	33.97	-118.28	107000	31	2017	2063	521	566
1.3750	33.97	-118.28	100000	35	2305	1978	568	634
2.7401	33.94	-118.31	131700	41	1353	751	250	286
1.4868	33.96	-118.29	113200	36	1717	902	368	417
2.6518	33.96	-118.30	136300	39	2802	1524	529	618
1.2273	33.96	-118.28	98400	41	1175	1241	352	340
1.6156	33.96	-118.28	102100	34	2074	1913	514	562
1.6652	33.97	-118.28	99000	34	2771	2782	715	802
1.3096	33.96	-118.29	116300	31	4022	3707	1007	1208
1.5521	33.99	-118.26	97500	30	1702	1966	442	443
1.6250	33.98	-118.27	101500	30	1966	2028	535	584
1.5109	33.99	-118.28	104000	38	1454	1098	297	323
1.8047	33.99	-118.27	101800	41	656	730	170	162
1.3801	33.98	-118.27	97000	39	2062	1933	570	588
1.5521	33.97	-118.28	90100	40	2180	2464	631	642
2.0754	33.97	-118.27	101400	39	2569	2601	630	688
1.6027	33.97	-118.28	97300	38	1819	2110	499	497
1.9348	33.96	-118.28	99100	37	1812	1640	447	500
1.5303	33.96	-118.26	95300	40	1475	1222	298	347
1.5812	33.96	-118.26	94000	39	1255	902	327	323
1.1557	33.97	-118.27	90100	34	1462	1310	351	394
0.5495	33.96	-118.27	91700	38	1126	999	265	270
1.6467	33.96	-118.27	90900	34	1040	1083	255	276
1.2091	33.95	-118.27	97900	39	1529	1154	357	358
1.6898	33.95	-118.26	95100	38	1387	1240	355	346
1.7167	33.96	-118.26	100000	39	1542	1256	361	375
2.1437	33.95	-118.28	94800	40	2044	2150	524	538
1.8472	33.96	-118.28	99100	39	882	697	189	221
1.5313	33.96	-118.28	91400	23	1983	2048	600	611
2.0917	33.95	-118.29	99300	35	1401	1357	327	362
1.5294	33.96	-118.29	111400	39	1340	1463	367	409
1.9655	33.95	-118.29	102300	40	2808	2357	627	695
1.9702	33.95	-118.29	93200	39	1701	1468	411	428
2.3352	33.94	-118.29	107700	34	1089	995	315	278
1.5000	33.95	-118.27	93600	35	2073	1753	490	494
1.5268	33.94	-118.27	91600	30	1041	877	270	275
1.8798	33.95	-118.27	101300	40	935	818	236	226
2.3365	33.95	-118.27	98000	34	987	902	221	248
2.3056	33.95	-118.27	98500	29	1579	1056	322	351
1.6333	33.94	-118.25	94500	37	1002	1092	273	270
1.6500	33.94	-118.26	94200	41	1510	1408	389	410
1.4917	33.93	-118.26	93200	35	1562	1587	406	403
2.6458	33.93	-118.27	91300	41	570	466	121	135
2.0789	33.94	-118.27	92400	34	721	661	171	165
1.6645	33.94	-118.27	94900	37	973	842	178	221
1.8191	33.93	-118.27	92700	36	1467	1247	347	369
1.5256	33.93	-118.26	95400	36	1102	702	225	247
1.7986	33.92	-118.26	98900	40	1076	705	255	244
1.4490	33.94	-118.27	93100	30	1764	1406	362	397
1.1468	33.94	-118.27	96900	39	2078	1901	504	561
1.4329	33.93	-118.28	94100	21	847	1283	277	278
1.1051	33.94	-118.28	94200	32	1381	1268	354	375
2.0313	33.93	-118.28	122600	41	936	913	226	257
2.8750	33.92	-118.29	120200	40	1935	1616	433	461
2.2778	33.93	-118.29	128100	41	896	605	168	198
1.5114	33.92	-118.28	90400	39	1274	975	277	282
1.4792	33.95	-118.24	97500	37	649	653	147	147
1.2500	33.95	-118.24	97400	36	2316	1938	507	543
0.9708	33.95	-118.24	107600	21	1260	1167	310	342
1.5427	33.95	-118.25	95700	28	2136	1799	476	575
1.6513	33.95	-118.24	90200	37	441	390	98	125
1.1384	33.95	-118.25	100000	25	764	801	220	200
0.9298	33.93	-118.25	100000	36	2452	2664	667	734
1.7212	33.94	-118.24	95500	39	1215	1211	265	273
2.0187	33.94	-118.23	90100	39	1141	1313	234	258
2.1607	33.94	-118.23	97600	35	1090	1339	263	267
2.3333	33.94	-118.23	92100	36	1110	1417	302	307
1.2679	33.94	-118.24	92000	30	940	1071	204	211
0.8478	33.93	-118.23	104900	39	2065	2015	535	532
2.1875	34.05	-118.45	181300	28	801	936	406	399
3.6673	34.04	-118.45	283300	22	3319	1848	940	1045
2.7679	34.04	-118.45	277500	23	3771	2031	1241	1321
3.7549	34.05	-118.45	275000	23	4099	2103	1217	1287
2.2961	34.04	-118.38	207700	35	2237	1794	543	592
2.7226	34.04	-118.38	254200	31	2846	2120	672	727
2.0437	34.04	-118.38	309100	36	3005	2054	758	771
3.4063	34.04	-118.38	271600	39	2614	1665	553	569
4.1250	34.04	-118.39	237500	41	101	85	30	23
3.2228	34.03	-118.39	232500	28	1722	1161	481	536
3.0574	34.03	-118.39	319400	25	3442	1890	914	1050
3.2222	34.03	-118.40	319400	24	1101	491	287	318
2.4135	34.02	-118.40	184400	27	515	397	228	201
3.5022	34.02	-118.41	281300	24	2610	1322	692	756
2.9344	34.03	-118.38	222100	36	2101	1756	527	569
3.7206	34.03	-118.39	230900	39	1366	1237	370	375
3.3482	34.03	-118.45	318100	41	1240	711	304	320
3.3462	34.02	-118.41	307000	34	1430	805	362	357
3.4269	34.02	-118.42	301900	26	2664	1745	789	842
3.7250	34.02	-118.41	310000	35	1728	1161	420	442
3.3955	34.02	-118.41	225000	19	4702	2636	1334	1472
3.0833	34.02	-118.41	315500	27	2224	1594	625	618
4.2813	34.01	-118.46	297200	39	711	347	153	148
2.7143	34.00	-118.47	287500	38	1235	891	376	390
2.2880	34.00	-118.47	263500	41	2331	1839	537	636
2.3542	34.00	-118.46	235700	39	614	538	159	174
2.6042	34.00	-118.47	305800	37	2586	1801	737	765
2.0714	33.99	-118.47	300000	31	1312	1178	330	376
2.5938	33.99	-118.47	285000	41	1146	833	270	310
2.1471	33.99	-118.47	239300	33	854	645	198	235
3.4071	33.99	-118.47	267500	37	2155	1082	637	721
3.1992	33.99	-118.46	303800	41	885	562	268	285
2.8393	34.00	-118.41	272000	35	684	381	159	161
3.1910	34.00	-118.41	271200	30	3550	3738	880	934
2.9338	34.00	-118.41	276300	18	1307	884	456	441
3.7250	33.99	-118.42	284600	35	1701	1428	494	482
1.1985	33.99	-118.41	215000	39	3014	3212	777	822
4.0893	33.99	-118.42	248900	38	740	599	194	171
4.5521	33.99	-118.42	263800	35	1724	1079	394	419
2.7153	34.00	-118.41	265500	35	1062	1026	307	305
3.6538	33.99	-118.41	276100	36	1089	632	215	234
2.8250	33.99	-118.40	276700	39	1613	1113	356	380
3.9727	33.98	-118.41	307200	33	3331	1695	735	777
3.0927	33.98	-118.36	316000	40	1113	584	231	234
5.7260	33.97	-118.37	287800	41	1833	847	348	355
2.5833	33.95	-118.38	187500	29	1821	1397	523	588
4.1471	33.96	-118.41	284400	32	1044	567	222	219
2.1875	33.92	-118.28	175900	37	1761	1309	357	409
2.6546	33.91	-118.28	159600	41	620	642	162	133
3.8372	33.91	-118.29	156400	41	2475	1416	470	532
2.4741	33.91	-118.29	151200	31	2025	2231	593	618
2.7368	33.92	-118.29	162800	23	2503	1735	505	532
2.6618	33.88	-118.28	179700	19	2758	2047	591	675
4.3170	33.88	-118.29	232800	32	2307	1754	528	493
2.9063	33.88	-118.29	184100	27	2082	2009	548	612
3.5900	33.89	-118.29	200600	35	2810	1578	601	614
4.3810	33.87	-118.29	238700	32	1700	864	317	340
5.1727	33.86	-118.30	230200	35	2016	1083	369	365
4.9792	33.86	-118.30	251300	35	1511	853	308	274
4.7222	33.84	-118.30	239600	36	1428	825	250	268
4.9196	33.84	-118.30	232400	37	1241	621	255	226
2.3942	33.85	-118.30	200000	38	123	142	40	36
3.1851	33.83	-118.30	240200	31	2693	1598	618	661
3.5473	33.83	-118.30	226300	33	2716	1807	661	660
2.9619	33.83	-118.31	223400	27	2880	2083	727	802
2.6136	33.82	-118.30	213600	35	1499	1141	326	340
2.8106	33.82	-118.30	184400	26	2080	2096	506	560
2.6368	33.82	-118.30	175900	25	2659	2629	726	765
5.3106	33.80	-118.30	268300	27	2790	1498	519	513
3.1250	33.80	-118.31	233300	30	3096	2048	704	757
3.0057	33.79	-118.30	235300	35	2793	2255	682	686
4.6207	33.78	-118.30	304100	35	2572	1172	519	504
3.1779	33.80	-118.26	171100	41	2004	1658	456	481
3.3500	33.80	-118.25	163100	36	1697	1274	396	394
5.5000	33.79	-118.26	181500	30	1291	835	215	230
2.3750	33.79	-118.25	128000	32	1205	1799	370	340
3.6161	33.80	-118.24	131300	28	636	788	143	169
1.3333	33.80	-118.23	187500	26	239	165	112	135
3.3500	33.80	-118.27	177700	38	1446	980	319	327
3.1613	33.79	-118.27	182300	36	2218	1789	527	561
3.3929	33.79	-118.27	184600	39	1513	1227	354	365
4.0000	33.80	-118.28	165500	38	1471	1207	335	329
4.3816	33.79	-118.28	191300	28	1895	1422	389	420
3.3009	33.79	-118.28	168000	36	1989	1668	455	458
3.2011	33.78	-118.28	169100	20	2233	1915	558	591
3.3427	33.79	-118.29	154200	16	1867	951	498	571
2.5000	33.79	-118.30	157500	21	1068	1180	274	283
2.9375	33.79	-118.27	174000	31	1535	1291	340	369
2.0458	33.78	-118.26	174500	27	1672	1723	462	491
2.1447	33.79	-118.27	158700	26	2109	2120	605	651
2.8462	33.79	-118.27	172000	39	1417	1450	367	359
2.7143	33.79	-118.25	138100	34	1349	1716	380	371
2.7308	33.79	-118.25	150400	38	1730	1724	424	460
1.9208	33.79	-118.25	139800	39	981	1183	298	286
1.9923	33.78	-118.26	164700	21	2188	2265	652	706
2.0956	33.78	-118.26	154700	35	1239	1524	387	473
1.4444	33.78	-118.25	182100	32	296	511	133	139
2.2500	33.78	-118.24	152300	24	574	784	162	173
2.1311	33.78	-118.26	163100	36	2191	2931	692	739
2.4545	33.77	-118.26	164200	36	886	809	219	253
1.9964	33.77	-118.27	150600	26	2272	2567	595	694
3.2115	33.78	-118.28	160100	37	1212	1076	293	304
1.5369	33.77	-118.27	141300	39	1731	2115	478	485
2.4500	33.75	-118.28	186800	41	1305	1384	369	381
1.8393	33.75	-118.28	187500	18	393	429	188	189
1.5394	33.74	-118.28	200000	40	1751	1939	503	512
1.2276	33.75	-118.28	208300	21	2442	1916	646	719
2.5795	33.75	-118.29	192400	27	1650	1359	386	443
3.5056	33.75	-118.30	203100	23	1957	1454	526	517
2.7031	33.75	-118.29	218900	37	1319	766	285	292
2.1473	33.74	-118.29	195300	29	1503	1368	390	411
2.7500	33.74	-118.29	238300	41	1382	905	344	361
2.0329	33.74	-118.29	225800	30	2074	1311	531	533
2.1382	33.73	-118.29	242300	21	2492	1699	672	711
3.3616	33.73	-118.29	268500	30	2835	1669	652	711
2.9386	33.74	-118.30	260500	23	3075	1584	806	860
3.9167	33.74	-118.30	285200	20	2625	1184	606	673
2.0469	33.73	-118.28	234500	39	2602	2178	737	802
2.7139	33.73	-118.29	231700	30	3161	1865	771	813
3.1932	33.72	-118.29	257500	25	2469	1253	535	584
3.4474	33.72	-118.30	253400	28	2647	1459	595	658
3.3397	33.72	-118.30	267800	28	2510	1388	554	583
3.5694	33.73	-118.30	276400	40	2582	1304	588	606
4.7216	33.69	-118.33	311900	41	2168	1171	374	357
3.7596	33.71	-118.29	300000	36	3135	1815	697	746
4.5606	33.71	-118.29	303800	31	2809	1316	633	666
3.2740	33.72	-118.29	254300	39	2651	1103	508	590
3.5109	33.72	-118.29	225000	21	1568	801	422	452
4.1667	34.23	-118.25	271200	35	2839	1413	538	592
4.6852	34.23	-118.25	296200	34	2421	1232	454	475
6.1873	34.24	-118.26	312100	35	1535	816	287	283
4.4083	34.23	-118.25	217700	41	1979	1157	459	496
5.5362	34.22	-118.25	301200	30	2062	1089	375	396
5.0862	34.23	-118.25	261300	37	1954	967	370	368
7.5582	34.23	-118.26	263700	38	1107	518	195	194
3.5174	34.21	-118.23	268000	36	2988	1357	657	719
3.3287	34.21	-118.23	273400	29	2584	1217	568	608
2.5463	34.21	-118.23	200000	32	1464	693	380	406
3.4148	34.21	-118.23	234800	38	1399	859	386	390
3.4531	34.22	-118.24	263900	41	2476	1271	485	506
4.1523	34.22	-118.24	252000	34	1722	926	371	406
3.8068	34.22	-118.25	267000	34	2510	1516	542	535
5.5756	34.20	-118.24	309900	41	2067	1282	455	452
3.5777	34.21	-118.24	245600	32	3817	1888	829	886
5.5290	34.22	-118.24	241300	36	2507	1232	470	517
3.1004	34.15	-118.23	257100	26	1649	1332	483	522
3.1484	34.16	-118.26	187500	17	2943	1312	656	769
3.1733	34.16	-118.26	206300	19	2919	1866	811	857
3.6354	34.17	-118.28	256300	22	2664	1553	629	651
2.3482	34.17	-118.29	255400	17	3852	2986	993	1066
3.7083	34.16	-118.29	241900	31	1262	1019	332	338
2.6016	34.17	-118.30	222400	17	4041	3309	1117	1169
5.0056	34.17	-118.30	162500	30	48	74	16	14
3.2083	34.16	-118.29	238000	35	1257	764	319	318
3.2321	34.16	-118.30	243600	40	1875	869	438	460
2.8342	34.16	-118.30	256800	35	3213	2401	819	874
2.6729	34.15	-118.27	217100	22	2265	1684	561	637
3.0199	34.15	-118.27	220200	25	3018	2205	742	806
3.5417	34.16	-118.26	177100	18	1775	950	522	525
2.8088	34.15	-118.26	247500	18	2481	1763	675	756
3.3906	34.15	-118.24	284100	20	2734	1562	607	658
2.5924	34.15	-118.24	192900	19	4852	3171	1332	1465
2.8478	34.15	-118.25	228100	31	1238	605	331	338
2.2621	34.15	-118.25	187500	32	1377	768	422	444
3.0441	34.15	-118.25	193800	20	3960	1729	978	1027
2.6268	34.14	-118.23	201300	33	2865	2061	790	864
3.0206	34.14	-118.24	219500	20	3196	2929	983	994
2.1444	34.14	-118.24	229000	27	2909	2614	935	1021
3.0288	34.15	-118.23	258300	19	2294	1686	680	716
2.9167	34.14	-118.23	224300	25	2864	1745	803	844
2.4620	34.14	-118.24	254000	28	1843	1402	512	554
1.9125	34.14	-118.24	238000	36	1813	1501	544	560
3.3636	34.13	-118.24	257700	37	1644	959	383	395
1.8929	34.14	-118.25	196900	30	1615	1245	544	570
1.8235	34.14	-118.25	275000	37	584	552	235	260
2.6673	34.13	-118.26	218100	25	3208	2843	1005	1111
2.5000	34.13	-118.26	207100	37	1383	1185	451	470
1.2188	34.13	-118.26	218800	37	196	194	68	74
2.5388	34.14	-118.26	205000	23	1336	1255	359	396
2.5417	34.13	-118.25	217500	22	2340	2226	754	773
2.2244	34.13	-118.25	255900	36	2946	2542	912	1025
2.4856	34.12	-118.25	181300	21	739	861	246	265
4.7885	34.21	-118.34	302200	36	1834	864	309	316
3.7015	34.19	-118.31	287900	27	4713	2372	1077	1169
3.9866	34.20	-118.32	294400	36	1978	834	311	337
3.0431	34.20	-118.34	262900	41	2860	1516	621	682
2.8750	34.19	-118.34	192400	41	1524	1176	375	393
3.0179	34.19	-118.32	272500	37	1519	613	315	331
3.3897	34.19	-118.32	222700	37	589	375	122	119
3.0687	34.17	-118.30	200000	37	350	342	111	115
3.5875	34.17	-118.32	250000	39	1995	1202	544	564
3.7941	34.16	-118.33	247800	37	2381	1235	499	575
2.9306	34.17	-118.32	279300	40	1868	799	403	356
3.4016	34.16	-118.33	234600	23	1359	770	380	428
3.1551	34.17	-118.30	205000	16	1353	1211	357	398
3.9464	34.16	-118.31	315000	37	2144	860	435	446
2.4074	34.17	-118.31	219400	24	2910	2522	873	917
4.0223	34.30	-118.43	146000	33	2443	1601	484	498
3.6023	34.30	-118.43	161800	37	1394	1111	327	313
3.1212	34.29	-118.43	153500	39	1769	1499	390	410
3.4821	34.29	-118.42	160300	34	1489	1389	313	326
1.7062	34.30	-118.43	164600	28	271	246	62	61
4.6864	34.29	-118.44	193800	35	2606	1555	404	447
2.8650	34.29	-118.43	155500	38	1704	1384	374	347
3.6726	34.29	-118.43	154600	38	1237	1073	293	298
2.3724	34.28	-118.43	154200	27	862	1243	267	280
2.0286	34.29	-118.44	122900	32	1260	1434	342	382
3.1588	34.29	-118.44	160100	30	1632	1357	401	401
2.3375	34.29	-118.45	154200	30	762	840	226	228
1.7708	34.28	-118.44	138800	32	527	582	143	146
1.9688	34.28	-118.44	144100	37	944	1107	235	244
2.5147	34.28	-118.44	137100	38	1156	1359	289	305
2.7155	34.28	-118.45	149800	36	2602	2780	620	638
6.1731	34.12	-117.73	293800	26	1279	412	157	163
4.8125	34.12	-117.79	224500	16	2426	1319	446	426
4.4722	34.11	-117.79	215600	18	3814	1881	692	721
6.1321	34.13	-117.82	309700	27	3770	1606	562	573
4.6937	34.13	-117.84	198000	26	3773	2103	688	694
3.3942	34.15	-117.90	212800	21	2056	1332	429	461
3.8365	34.14	-117.90	184200	29	2240	1187	407	457
3.3043	34.14	-117.90	155500	35	2259	1561	509	505
3.8750	34.14	-117.88	186700	32	1764	924	329	365
4.0023	34.13	-117.88	185500	33	3713	2106	720	718
6.1049	34.14	-117.85	297200	35	2899	1251	429	429
4.9091	34.14	-117.85	275000	35	1582	654	221	248
6.2089	34.14	-117.86	283400	33	2344	1098	359	363
5.4224	34.15	-117.87	269500	37	2655	1056	401	415
3.1905	34.14	-117.86	235300	36	3097	1484	634	667
2.9375	34.14	-117.87	209200	30	2495	1139	559	586
4.3145	34.13	-117.85	233000	31	1959	1021	303	318
3.0448	34.12	-117.85	192100	30	4367	2524	954	1033
4.6360	34.13	-117.86	245500	33	2383	1269	421	428
2.5880	34.13	-117.86	209500	40	1304	607	256	280
3.4107	34.13	-117.86	170800	29	630	378	148	145
3.4219	34.13	-117.87	194500	32	1741	872	333	373
3.1200	34.13	-117.87	194300	29	1677	873	400	413
5.2700	34.12	-117.82	209400	26	3118	1546	545	528
4.8304	34.12	-117.84	228900	25	3465	1722	536	566
4.9844	34.11	-117.83	203000	29	2671	1484	445	437
4.8894	34.11	-117.84	191700	17	3499	1911	621	621
4.3920	34.12	-117.84	187600	34	2026	1142	332	345
3.6201	34.11	-117.81	150400	21	3481	1866	746	808
3.8929	34.10	-117.81	144600	19	1935	1126	389	399
2.6210	34.10	-117.76	202200	28	4086	1973	853	871
3.7177	34.09	-117.78	177200	32	2643	1862	478	516
3.5192	34.10	-117.79	190500	26	1664	1024	339	344
3.9825	34.11	-117.76	180500	22	4935	2874	938	954
3.7500	34.11	-117.77	180900	28	1998	1124	389	414
5.3637	34.11	-117.74	214700	28	3494	1391	522	566
2.6779	34.10	-117.74	136000	26	2723	1847	498	604
3.5072	34.10	-117.74	121900	29	2742	2477	532	488
2.2813	34.10	-117.71	125000	41	555	1492	123	130
2.4952	34.10	-117.72	181800	32	3241	1592	810	895
5.8891	34.10	-117.73	226000	37	3457	1344	530	544
4.1739	34.09	-117.71	158700	36	2637	1385	483	476
4.2639	34.08	-117.71	154200	26	2744	1411	465	494
3.2566	34.09	-117.72	151800	36	1473	785	299	328
3.7958	34.09	-117.72	152500	33	4979	2575	874	934
2.4375	34.09	-117.73	112100	30	2345	1897	454	496
3.5313	34.09	-117.73	117800	36	1543	1355	303	297
2.9063	34.08	-117.73	115200	33	1350	1251	257	265
3.4871	34.09	-117.74	136400	30	3199	2192	563	591
3.6359	34.08	-117.75	135100	33	2824	1797	493	523
4.0368	34.08	-117.75	139100	33	1067	600	201	194
4.2143	34.09	-117.75	146900	36	3094	1672	545	556
2.9388	34.08	-117.76	139200	37	2263	1677	522	502
2.8661	34.07	-117.77	124000	36	2922	2392	629	652
3.0638	34.07	-117.77	113600	29	2976	2452	633	662
1.9937	34.06	-117.76	103600	33	1831	1625	472	486
1.9766	34.06	-117.77	108000	27	2178	2379	591	629
3.9784	34.07	-117.78	113500	18	3610	2899	765	772
2.2258	34.06	-117.78	114800	25	1712	1807	478	491
3.7583	34.07	-117.79	116300	33	1694	1689	301	333
3.7933	34.07	-117.79	116100	34	975	870	183	192
